Num_acc,Conditions Atmosphériques,Etat Surface,Catégorie Route,Vitesse Maximale Autorisée,Nombre Véhicules Impliqués,Nombre Usagers Impliqués,Date,Conditions Lumineuses,Type Collision
27,Normal,Sec,Route Nationale,90.0,,3.0,2022-01-12 09:09:48,,Autre
28,Normal,,,30.0,,5.0,2022-01-30 17:19:30,,
29,Normal,Sec,Voie Communale,,2.0,2.0,2022-01-06 02:49:02,Nuit,Frontale
30,Normal,,Route Départementale,,2.0,,2022-01-21 14:28:55,Jour,
31,Normal,,Route Départementale,70.0,1.0,1.0,2022-01-16 20:58:23,Nuit,Autre
32,Normal,Sec,,90.0,1.0,,2022-01-21 11:31:57,Jour,Autre
33,Normal,Sec,Route Départementale,70.0,2.0,,2022-01-22 01:56:29,Nuit,
34,Pluie,Mouillé,,30.0,2.0,2.0,2022-01-07 09:50:41,Jour,Par le coté
35,,Sec,Voie Communale,30.0,2.0,,2022-01-12 12:55:17,Jour,
36,Normal,,Voie Communale,30.0,,,2022-01-18 10:19:50,Jour,Par le coté
37,Normal,Sec,Voie Communale,,,2.0,2022-01-05 15:53:29,Jour,Autre
38,,Sec,Route Départementale,,2.0,,2022-01-17 23:16:02,Nuit,Par le coté
39,Normal,Sec,Route Départementale,,2.0,,2022-01-16 02:04:29,Nuit,
40,Normal,,,90.0,1.0,1.0,2022-01-10 05:06:27,Nuit,Autre
41,,Sec,Voie Communale,30.0,1.0,2.0,2022-01-10 04:35:01,,Autre
42,,Sec,,30.0,2.0,2.0,2022-01-11 21:07:24,Nuit,
43,,Sec,Voie Communale,,2.0,6.0,2022-01-06 14:14:27,Jour,Par le coté
44,Pluie,,Route Nationale,90.0,,1.0,2022-01-19 19:56:18,Nuit,
45,,Sec,Voie Communale,30.0,,,2022-01-18 19:33:27,,Autre
46,Normal,Sec,Autoroute,130.0,,2.0,2022-01-30 11:18:01,Jour,Autre
47,Pluie,Mouillé,Route Départementale,70.0,,2.0,2022-01-03 00:07:47,Nuit,Par le coté
48,Normal,Sec,,70.0,1.0,,2022-01-26 05:30:57,,Autre
49,,Sec,Voie Communale,,2.0,,2022-01-06 06:51:16,Nuit,
50,Normal,Sec,Voie Communale,,2.0,3.0,2022-01-13 09:44:41,Jour,Frontale
51,,Sec,,70.0,1.0,1.0,2022-01-13 20:15:37,Nuit,
52,Normal,,Route Départementale,,1.0,,2022-01-17 18:54:40,,
53,Pluie,Mouillé,,30.0,,,2022-01-03 16:29:04,Jour,
54,,Sec,Voie Communale,30.0,2.0,3.0,2022-01-14 03:51:04,Nuit,Par le coté
55,Normal,,Autoroute,,1.0,,2022-01-18 03:12:02,,Autre
56,Pluie,Mouillé,,70.0,,,2022-01-09 08:18:06,Nuit,
57,Normal,Sec,Route Départementale,,2.0,6.0,2022-01-26 21:17:44,Nuit,Par le coté
58,,Sec,,70.0,3.0,,2022-01-21 22:38:14,,Autre
59,,Sec,Voie Communale,30.0,3.0,6.0,2022-01-18 17:36:55,Nuit,
60,,Mouillé,Voie Communale,30.0,1.0,2.0,2022-01-03 10:18:11,,Autre
61,Normal,Sec,Route Départementale,,2.0,2.0,2022-01-10 02:25:22,,Par le coté
62,Normal,Sec,,70.0,1.0,3.0,2022-01-29 19:30:01,Nuit,Autre
63,Normal,Sec,,70.0,2.0,4.0,2022-01-06 19:38:30,Nuit,
64,Pluie,,,130.0,2.0,4.0,2022-01-03 05:33:05,Nuit,Par l'arrière
65,,Sec,Route Départementale,,2.0,2.0,2022-01-13 12:38:17,,Frontale
66,Normal,,,70.0,2.0,3.0,2022-01-31 23:57:22,Nuit,
67,Normal,Sec,Voie Communale,,1.0,,2022-01-27 17:46:52,,Autre
68,Normal,,Route Départementale,,1.0,3.0,2022-01-18 16:23:05,,
69,Normal,,Route Nationale,,2.0,5.0,2022-01-28 09:16:01,Jour,Par le coté
70,Normal,,Route Départementale,70.0,,1.0,2022-01-11 14:39:14,Jour,
71,Normal,,Voie Communale,30.0,2.0,4.0,2022-01-31 03:40:43,Nuit,Par le coté
72,Pluie,,,30.0,2.0,,2022-01-07 06:51:06,Nuit,
73,Pluie,Mouillé,Voie Communale,,2.0,,2022-01-07 10:55:47,Jour,Par l'arrière
74,,Sec,,30.0,3.0,6.0,2022-01-16 04:42:33,,Autre
75,Pluie,,Voie Communale,,,,2022-01-08 12:34:54,Jour,Autre
76,Normal,Sec,,30.0,2.0,6.0,2022-01-13 22:09:50,,Par l'arrière
77,,Sec,Route Nationale,90.0,1.0,,2022-01-24 09:31:57,,
78,Normal,,Voie Communale,,1.0,1.0,2022-01-17 18:46:15,Nuit,Autre
79,,Mouillé,Voie Communale,30.0,,5.0,2022-01-09 22:40:44,Nuit,
80,Normal,Sec,,30.0,2.0,2.0,2022-01-18 11:38:46,Jour,Par l'arrière
81,Normal,Sec,Route Départementale,,2.0,2.0,2022-01-28 05:21:56,Nuit,
82,Normal,Sec,,70.0,2.0,5.0,2022-01-30 20:59:19,Nuit,
83,Normal,Sec,Voie Communale,30.0,2.0,5.0,2022-01-10 00:26:32,Nuit,Frontale
84,,Sec,,70.0,2.0,,2022-01-30 06:01:21,Nuit,Par le coté
85,Normal,Sec,,70.0,2.0,4.0,2022-01-13 14:17:51,Jour,Frontale
86,,Sec,Autoroute,,2.0,2.0,2022-01-26 21:28:45,,Par le coté
87,Normal,Sec,,30.0,2.0,6.0,2022-01-22 18:00:24,Nuit,
88,Normal,,,30.0,1.0,2.0,2022-01-01 04:06:29,Nuit,Autre
89,Normal,Sec,,90.0,,,2022-01-25 13:36:42,,Frontale
90,Normal,Sec,Voie Communale,,,4.0,2022-01-06 13:44:21,Jour,Par le coté
91,Normal,,Route Départementale,,2.0,4.0,2022-01-12 09:53:52,,Par le coté
92,,Sec,Route Départementale,70.0,1.0,1.0,2022-01-13 19:01:09,Nuit,Autre
93,Pluie,Mouillé,,90.0,1.0,,2022-01-04 00:16:31,,
94,Normal,Sec,Route Départementale,70.0,2.0,8.0,2022-01-06 04:15:14,Nuit,
95,,Sec,Voie Communale,30.0,,1.0,2022-01-30 06:18:46,,Autre
96,Normal,,,70.0,2.0,,2022-01-24 09:15:29,,Par le coté
97,Normal,,Route Départementale,,2.0,,2022-01-22 07:15:46,Nuit,
98,Pluie,,,70.0,2.0,2.0,2022-01-19 17:12:32,,Par le coté
99,Normal,Sec,,30.0,,,2022-01-01 01:57:07,Nuit,Autre
100,,Mouillé,Route Départementale,,2.0,3.0,2022-01-03 19:41:35,Nuit,Par le coté
101,Normal,,Route Départementale,,2.0,3.0,2022-01-14 00:25:20,Nuit,Par l'arrière
102,,Sec,Route Départementale,,1.0,1.0,2022-01-10 05:12:18,,Autre
103,Pluie,,Route Départementale,,2.0,7.0,2022-01-03 16:32:31,Jour,
104,Normal,Sec,Route Départementale,,2.0,6.0,2022-01-18 04:16:30,Nuit,Par le coté
105,Normal,,,30.0,3.0,,2022-01-21 21:56:30,Nuit,Autre
106,,Sec,Voie Communale,30.0,,3.0,2022-01-30 00:17:03,,
107,Pluie,Mouillé,,30.0,2.0,,2022-01-04 20:14:29,Nuit,
108,,Sec,,70.0,2.0,2.0,2022-01-26 14:35:55,Jour,
109,,Sec,Voie Communale,,2.0,2.0,2022-01-23 21:19:26,Nuit,Par l'arrière
110,,Sec,Route Départementale,70.0,,1.0,2022-01-14 12:58:13,Jour,
111,Normal,,Route Départementale,70.0,,2.0,2022-01-23 15:06:20,Jour,Autre
112,Normal,,Voie Communale,30.0,2.0,3.0,2022-01-22 05:14:54,,
113,,Sec,Voie Communale,,2.0,2.0,2022-01-28 21:43:12,Nuit,Par le coté
114,,Sec,Voie Communale,30.0,2.0,,2022-01-31 23:22:34,,Frontale
115,Normal,Sec,Route Départementale,70.0,,4.0,2022-01-05 18:24:30,,
116,Pluie,,Voie Communale,,2.0,,2022-01-07 07:18:26,Nuit,Par le coté
117,Normal,,Voie Communale,30.0,2.0,,2022-01-18 18:10:14,Nuit,
118,Normal,Sec,Voie Communale,30.0,2.0,2.0,2022-01-29 02:54:38,Nuit,Par l'arrière
119,Normal,,Route Départementale,70.0,2.0,,2022-01-25 19:32:49,,Par le coté
120,Normal,Sec,Route Départementale,70.0,2.0,2.0,2022-01-13 12:01:48,Jour,Par le coté
121,Normal,Sec,Route Départementale,,2.0,,2022-01-26 22:06:40,Nuit,Frontale
122,Normal,Sec,,30.0,2.0,4.0,2022-01-31 18:39:17,Nuit,
123,Pluie,Mouillé,Voie Communale,,2.0,4.0,2022-01-19 21:15:57,Nuit,Par le coté
124,Normal,Sec,Voie Communale,30.0,2.0,5.0,2022-01-30 12:59:08,Jour,Par le coté
125,,Mouillé,Route Nationale,,,2.0,2022-01-08 22:13:16,Nuit,Par le coté
126,Pluie,,Route Départementale,70.0,,,2022-01-03 12:12:24,Jour,Par l'arrière
127,,Sec,Voie Communale,30.0,2.0,2.0,2022-01-10 16:48:19,Jour,Par le coté
128,Normal,Sec,Route Départementale,,2.0,,2022-01-12 01:38:40,Nuit,
129,Normal,Sec,Autoroute,,2.0,2.0,2022-01-31 14:23:07,Jour,
130,,Sec,Voie Communale,30.0,2.0,,2022-01-20 14:05:57,Jour,Par le coté
131,Normal,Sec,Route Nationale,90.0,2.0,3.0,2022-01-24 02:11:26,Nuit,Par le coté
132,Pluie,,Autoroute,,2.0,6.0,2022-01-19 11:04:54,Jour,Par le coté
133,Normal,,Route Départementale,70.0,2.0,4.0,2022-01-06 23:09:34,Nuit,Frontale
134,Normal,,Voie Communale,30.0,2.0,2.0,2022-01-21 12:56:19,Jour,Frontale
135,Normal,Sec,Route Départementale,,2.0,4.0,2022-01-02 12:14:42,Jour,
136,,Sec,,30.0,,2.0,2022-01-22 08:27:22,Nuit,
137,,Sec,Route Nationale,,2.0,5.0,2022-01-10 18:44:24,,Par l'arrière
138,Pluie,,Voie Communale,30.0,2.0,,2022-01-19 09:49:35,Jour,Par l'arrière
139,Normal,Sec,Voie Communale,,3.0,6.0,2022-01-01 16:02:06,,Autre
140,Normal,Sec,Route Départementale,70.0,,1.0,2022-01-20 20:20:19,Nuit,Autre
141,,Mouillé,Voie Communale,,,,2022-01-03 02:03:10,Nuit,Autre
142,Pluie,,,130.0,,2.0,2022-01-04 17:26:35,,Frontale
143,,Sec,Route Nationale,,2.0,,2022-01-30 07:01:07,,Frontale
144,Normal,,,30.0,3.0,6.0,2022-01-11 20:00:32,Nuit,Autre
145,,Sec,Voie Communale,30.0,2.0,7.0,2022-01-23 08:10:55,Nuit,Frontale
146,Normal,,,70.0,2.0,4.0,2022-01-01 12:04:26,Jour,Par l'arrière
147,Pluie,Mouillé,,130.0,3.0,10.0,2022-01-03 16:17:59,Jour,
148,Normal,,,130.0,2.0,6.0,2022-01-27 02:32:51,Nuit,Par le coté
149,Normal,,Route Départementale,,2.0,,2022-01-15 11:26:52,Jour,Par l'arrière
150,Normal,,,70.0,2.0,4.0,2022-01-29 10:50:27,Jour,Frontale
151,,Sec,Route Départementale,,2.0,2.0,2022-01-11 13:40:55,Jour,
152,Normal,,Route Départementale,,1.0,,2022-01-20 08:38:27,,
153,Normal,Sec,Route Départementale,70.0,,6.0,2022-01-15 18:17:50,Nuit,Par le coté
154,Normal,,Voie Communale,,,,2022-01-11 20:24:36,Nuit,Par le coté
155,Normal,Sec,Autoroute,130.0,2.0,3.0,2022-01-23 22:39:40,Nuit,Par le coté
156,Normal,Sec,,30.0,1.0,4.0,2022-01-13 08:23:11,,Autre
157,Normal,Sec,Voie Communale,30.0,1.0,1.0,2022-01-23 17:24:58,Nuit,Autre
158,Pluie,,,70.0,2.0,8.0,2022-01-03 03:12:53,,Frontale
159,Normal,Sec,Route Départementale,,2.0,,2022-01-31 09:07:54,Jour,Par l'arrière
160,,Mouillé,Voie Communale,30.0,2.0,6.0,2022-01-03 07:36:52,Nuit,Par le coté
161,,Sec,Voie Communale,30.0,,5.0,2022-01-16 15:00:23,,
162,,Sec,Route Départementale,,,1.0,2022-01-23 07:45:38,Nuit,Autre
163,Normal,,Route Nationale,90.0,2.0,,2022-01-29 08:25:51,Nuit,Par le coté
164,Normal,Sec,,70.0,,,2022-01-05 12:32:18,,Par le coté
165,,Sec,,30.0,2.0,2.0,2022-01-10 13:06:24,,
166,Normal,,Voie Communale,,2.0,2.0,2022-01-06 22:54:09,Nuit,
167,Pluie,,Autoroute,,2.0,2.0,2022-01-04 22:09:12,,
168,Pluie,Mouillé,,30.0,2.0,3.0,2022-01-19 22:04:22,Nuit,
169,Normal,,,70.0,2.0,4.0,2022-01-06 02:05:17,Nuit,Par le coté
170,Pluie,Mouillé,Voie Communale,,,,2022-01-07 09:28:29,Jour,Par le coté
171,Normal,,Voie Communale,30.0,1.0,4.0,2022-01-05 14:02:48,,Autre
172,,Mouillé,Route Départementale,70.0,,4.0,2022-01-08 14:06:43,Jour,Par l'arrière
173,Normal,Sec,Route Départementale,70.0,,4.0,2022-01-11 19:05:07,Nuit,Frontale
174,Normal,Sec,,30.0,2.0,4.0,2022-01-11 23:55:17,Nuit,Frontale
175,Pluie,Mouillé,Route Départementale,,2.0,3.0,2022-01-07 09:42:10,Jour,Frontale
176,Normal,Sec,,70.0,,,2022-01-17 16:30:17,Jour,Autre
177,Normal,Sec,Route Départementale,,2.0,2.0,2022-01-14 05:08:22,Nuit,Par le coté
178,Normal,Sec,Autoroute,,1.0,1.0,2022-01-14 03:36:48,Nuit,
179,Normal,Sec,Voie Communale,30.0,2.0,3.0,2022-01-14 04:03:13,Nuit,Par le coté
180,Normal,,Route Départementale,,,2.0,2022-01-12 04:59:51,Nuit,Par l'arrière
181,Pluie,Mouillé,Voie Communale,30.0,3.0,,2022-01-08 20:20:48,Nuit,Autre
182,Normal,Sec,Voie Communale,,,2.0,2022-01-02 06:34:46,Nuit,Frontale
183,,Sec,Autoroute,130.0,2.0,,2022-01-16 11:36:00,,Par l'arrière
184,Pluie,Mouillé,Voie Communale,30.0,2.0,4.0,2022-01-08 09:34:45,Jour,Par le coté
185,Normal,,Voie Communale,,,4.0,2022-01-20 06:11:59,Nuit,Par le coté
186,Normal,,,70.0,2.0,4.0,2022-01-17 23:53:28,,
187,Normal,Sec,Route Départementale,70.0,2.0,4.0,2022-01-23 07:00:26,Nuit,
188,Normal,,Voie Communale,30.0,,2.0,2022-01-25 03:34:33,,
189,,Sec,Voie Communale,30.0,,,2022-01-17 18:13:45,Nuit,Par l'arrière
190,Normal,Sec,Route Nationale,,2.0,4.0,2022-01-31 13:12:44,Jour,Par l'arrière
191,Normal,Sec,Route Nationale,,2.0,2.0,2022-01-11 23:41:35,,Par le coté
192,Normal,Sec,,70.0,2.0,3.0,2022-01-16 18:17:34,,Par le coté
193,Normal,Sec,Route Départementale,70.0,2.0,6.0,2022-01-14 11:49:38,Jour,Frontale
194,Normal,,Route Départementale,70.0,1.0,1.0,2022-01-23 11:13:18,Jour,
195,Normal,Sec,Voie Communale,,1.0,1.0,2022-01-29 21:22:35,,Autre
196,,Mouillé,,70.0,2.0,2.0,2022-01-04 09:21:40,,
197,,Sec,,70.0,,,2022-01-17 00:55:15,Nuit,Autre
198,Normal,Sec,,30.0,,,2022-01-16 20:03:04,,Autre
199,Normal,Sec,Route Nationale,90.0,,1.0,2022-01-06 11:29:24,,Autre
200,Normal,,Voie Communale,30.0,1.0,3.0,2022-01-14 13:52:49,Jour,Autre
201,Normal,,Route Départementale,70.0,,3.0,2022-01-30 15:54:18,Jour,
202,,Sec,Route Nationale,90.0,2.0,,2022-01-14 02:05:46,Nuit,
203,,Sec,Route Départementale,70.0,2.0,3.0,2022-01-13 08:17:34,Nuit,
204,,Sec,,70.0,,3.0,2022-01-11 16:43:02,Jour,Frontale
205,Normal,Sec,Voie Communale,30.0,2.0,3.0,2022-01-31 22:15:53,Nuit,
206,Normal,Sec,Route Nationale,,2.0,2.0,2022-01-01 10:54:26,Jour,
207,,Sec,Route Nationale,90.0,,3.0,2022-01-10 10:52:21,Jour,
208,Pluie,Mouillé,Voie Communale,30.0,2.0,,2022-01-03 05:25:11,Nuit,Par le coté
209,Normal,,,30.0,2.0,4.0,2022-01-31 20:04:53,,
210,Normal,Sec,Autoroute,,,2.0,2022-01-30 15:36:21,,Par le coté
211,Normal,Sec,Voie Communale,,2.0,2.0,2022-01-21 12:51:14,,Frontale
212,,Sec,,30.0,2.0,,2022-01-20 06:27:30,Nuit,
213,Normal,Sec,Voie Communale,,,5.0,2022-01-01 10:36:16,Jour,Autre
214,Normal,Sec,Voie Communale,30.0,,2.0,2022-01-24 12:57:32,Jour,Par l'arrière
215,Normal,,Voie Communale,,2.0,5.0,2022-01-12 05:28:17,,Par le coté
216,Pluie,Mouillé,Route Départementale,70.0,,6.0,2022-01-07 06:01:03,,Par le coté
217,Normal,Sec,Route Départementale,70.0,2.0,8.0,2022-01-30 18:21:54,Nuit,Par le coté
218,Normal,,Autoroute,,1.0,1.0,2022-01-12 14:49:11,Jour,Autre
219,Normal,Sec,Voie Communale,,2.0,4.0,2022-01-21 20:10:15,Nuit,Par l'arrière
220,,Sec,Voie Communale,30.0,,2.0,2022-01-11 23:49:35,Nuit,
221,,Sec,,30.0,2.0,,2022-01-18 22:51:00,Nuit,
222,Normal,Sec,Route Départementale,,2.0,,2022-01-20 00:44:38,,
223,Normal,,,70.0,3.0,6.0,2022-01-13 23:44:24,Nuit,
224,Normal,,,70.0,3.0,4.0,2022-01-20 16:08:39,Jour,Autre
225,Normal,,Route Nationale,90.0,1.0,1.0,2022-01-14 06:44:43,,Autre
226,Normal,,Route Départementale,70.0,2.0,3.0,2022-01-25 00:54:04,Nuit,
227,Normal,Sec,,70.0,,3.0,2022-01-29 00:28:05,Nuit,Par le coté
228,,Sec,,70.0,1.0,2.0,2022-01-18 15:37:27,Jour,Autre
229,Normal,Sec,Voie Communale,30.0,2.0,2.0,2022-01-06 01:54:37,Nuit,Par le coté
230,,Sec,Route Départementale,,2.0,,2022-01-28 00:15:55,Nuit,Par le coté
231,Normal,Sec,Route Départementale,,1.0,1.0,2022-01-01 10:49:18,Jour,Autre
232,,Sec,Autoroute,,,1.0,2022-01-29 12:19:16,Jour,Autre
233,Normal,Sec,Autoroute,130.0,2.0,,2022-01-05 17:21:21,,Frontale
234,Normal,,,70.0,2.0,,2022-01-10 09:57:15,,Par le coté
235,,Sec,Route Départementale,70.0,1.0,1.0,2022-01-13 11:04:28,Jour,Autre
236,Normal,,Route Départementale,,,,2022-01-13 13:53:17,,
237,,Sec,Voie Communale,,,6.0,2022-01-27 23:59:25,Nuit,Frontale
238,,Sec,Route Nationale,90.0,2.0,3.0,2022-01-31 15:46:54,,
239,Normal,Sec,Route Départementale,70.0,3.0,3.0,2022-01-18 14:13:20,Jour,
240,,Mouillé,Route Nationale,90.0,1.0,4.0,2022-01-09 13:35:42,Jour,Autre
241,,Sec,,130.0,1.0,2.0,2022-01-22 08:15:31,Nuit,
242,Pluie,,Voie Communale,30.0,2.0,2.0,2022-01-03 03:36:56,Nuit,Frontale
243,,Sec,Voie Communale,,,1.0,2022-01-20 19:48:57,,Autre
244,Normal,Sec,Route Départementale,70.0,,1.0,2022-01-01 13:48:02,Jour,
245,Normal,,Voie Communale,,,2.0,2022-01-10 06:15:03,Nuit,Par le coté
246,Pluie,,,70.0,1.0,2.0,2022-01-04 01:02:14,Nuit,Autre
247,Normal,Sec,Route Départementale,70.0,2.0,7.0,2022-01-11 09:37:52,Jour,Frontale
248,Normal,Sec,Voie Communale,,,,2022-01-01 22:12:55,Nuit,
249,Normal,,Route Départementale,70.0,,3.0,2022-01-24 13:13:54,Jour,Autre
250,,Mouillé,Route Départementale,,1.0,4.0,2022-01-19 05:44:23,Nuit,Autre
251,Pluie,Mouillé,Autoroute,,1.0,2.0,2022-01-04 13:04:54,Jour,Autre
252,Pluie,Mouillé,Voie Communale,30.0,,,2022-01-04 04:02:03,Nuit,Frontale
253,Normal,,Autoroute,130.0,1.0,1.0,2022-01-26 13:18:05,Jour,Autre
254,Normal,,Voie Communale,30.0,,,2022-01-01 19:18:41,Nuit,
255,Normal,,Route Départementale,,,,2022-01-18 01:45:21,Nuit,Frontale
256,Normal,,Route Départementale,70.0,2.0,,2022-01-18 22:10:42,Nuit,
257,,Sec,Route Départementale,,1.0,1.0,2022-01-17 20:50:16,Nuit,Autre
258,Pluie,Mouillé,Autoroute,130.0,2.0,2.0,2022-01-04 11:06:41,Jour,Par le coté
259,,Sec,Voie Communale,,2.0,,2022-01-29 15:40:19,Jour,Par l'arrière
260,Normal,Sec,Voie Communale,,2.0,2.0,2022-01-24 09:28:39,,
261,Normal,Sec,Voie Communale,30.0,,2.0,2022-01-30 09:41:55,,Par le coté
262,Normal,Sec,Route Nationale,90.0,3.0,5.0,2022-01-22 23:28:04,,Autre
263,Normal,,Route Départementale,,2.0,,2022-01-21 13:04:03,,Par l'arrière
264,,Sec,Route Départementale,,2.0,6.0,2022-01-10 13:35:27,Jour,Par l'arrière
265,Normal,,Autoroute,130.0,2.0,,2022-01-25 09:22:59,Jour,Par l'arrière
266,Normal,,Voie Communale,,2.0,6.0,2022-01-25 10:17:37,Jour,Par le coté
267,Normal,Sec,,30.0,2.0,6.0,2022-01-31 06:23:24,Nuit,Par l'arrière
268,Normal,,Route Départementale,70.0,1.0,,2022-01-10 20:46:56,Nuit,Autre
269,,Sec,,30.0,,1.0,2022-01-18 09:36:44,Jour,Autre
270,Normal,,Voie Communale,30.0,2.0,2.0,2022-01-11 23:18:38,Nuit,Par l'arrière
271,,Sec,Route Nationale,90.0,2.0,3.0,2022-01-14 04:02:50,Nuit,
272,,Sec,Route Départementale,70.0,2.0,4.0,2022-01-31 15:50:53,Jour,Par le coté
273,,Sec,,70.0,,2.0,2022-01-24 07:36:29,,Par l'arrière
274,Pluie,Mouillé,Voie Communale,,2.0,2.0,2022-01-08 20:40:13,Nuit,Par le coté
275,Normal,,Route Départementale,70.0,1.0,3.0,2022-01-14 14:17:27,Jour,
276,Pluie,,,30.0,,2.0,2022-01-04 17:25:13,Nuit,Par l'arrière
277,Normal,Sec,Voie Communale,30.0,2.0,,2022-01-20 04:10:58,Nuit,Par l'arrière
278,Normal,Sec,Voie Communale,,2.0,7.0,2022-01-20 04:25:10,,Frontale
279,Normal,,Voie Communale,30.0,1.0,,2022-01-29 15:43:14,Jour,
280,Normal,Sec,Autoroute,130.0,,2.0,2022-01-24 09:51:08,Jour,Par l'arrière
281,Normal,Sec,Route Départementale,70.0,2.0,,2022-01-25 00:17:14,,Par le coté
282,,Sec,Voie Communale,30.0,1.0,,2022-01-20 00:33:15,Nuit,Autre
283,Pluie,,Voie Communale,30.0,,2.0,2022-01-04 05:37:15,,Frontale
284,,Sec,,30.0,2.0,,2022-01-24 19:12:14,Nuit,Par le coté
285,,Sec,Route Départementale,,2.0,,2022-01-11 17:12:35,Jour,
286,Normal,Sec,Voie Communale,30.0,,1.0,2022-01-30 13:53:19,Jour,Autre
287,,Mouillé,,30.0,1.0,1.0,2022-01-04 15:09:40,,
288,,Sec,Route Départementale,70.0,1.0,1.0,2022-01-06 03:43:16,Nuit,
289,,Mouillé,Route Nationale,90.0,,4.0,2022-01-19 18:58:29,Nuit,Par l'arrière
290,Normal,,Voie Communale,30.0,,,2022-01-27 16:32:49,Jour,Frontale
291,Normal,,,30.0,,,2022-01-14 05:02:42,Nuit,
292,Normal,Sec,,30.0,,2.0,2022-01-15 08:26:12,,Par le coté
293,Normal,Sec,,70.0,2.0,4.0,2022-01-28 09:39:45,Jour,Frontale
294,Normal,,Route Départementale,70.0,,2.0,2022-01-14 05:53:33,Nuit,
295,Normal,Sec,Route Départementale,70.0,2.0,7.0,2022-01-11 17:45:46,Nuit,Par le coté
296,Normal,Sec,Route Départementale,,1.0,,2022-01-30 15:44:49,Jour,Autre
297,Pluie,,,70.0,,6.0,2022-01-09 12:11:33,,Par le coté
298,Normal,,Route Départementale,70.0,2.0,,2022-01-05 00:57:08,Nuit,
299,,Sec,Voie Communale,30.0,,,2022-01-21 08:49:35,Jour,Autre
300,Normal,Sec,Autoroute,130.0,1.0,,2022-01-26 16:42:14,,
301,Normal,Sec,Voie Communale,,,1.0,2022-01-02 20:12:21,Nuit,
302,,Sec,,70.0,1.0,,2022-01-06 21:35:37,Nuit,
303,,Sec,,70.0,3.0,5.0,2022-01-14 01:59:45,Nuit,
304,Pluie,Mouillé,Autoroute,130.0,2.0,2.0,2022-01-04 18:25:18,,Par l'arrière
305,Normal,Sec,,30.0,2.0,2.0,2022-01-26 03:48:02,,Par le coté
306,Normal,,Route Départementale,70.0,1.0,,2022-01-25 04:33:33,Nuit,Autre
307,,Sec,Route Départementale,70.0,2.0,3.0,2022-01-24 17:31:41,Nuit,Frontale
308,Pluie,Mouillé,,70.0,,3.0,2022-01-08 11:48:29,Jour,
309,Normal,,Route Départementale,70.0,3.0,3.0,2022-01-02 05:12:25,,
310,,Sec,,70.0,2.0,3.0,2022-01-13 08:08:52,,
311,Pluie,Mouillé,,130.0,1.0,,2022-01-07 06:56:28,Nuit,Autre
312,Normal,Sec,,70.0,,8.0,2022-01-23 00:17:00,Nuit,Autre
313,Normal,Sec,,30.0,2.0,4.0,2022-01-14 10:35:34,,Par le coté
314,,Sec,Route Départementale,,,,2022-01-29 15:39:47,,
